   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 31, 39, 6900, 1, normal 
0, 1, 0, 0, 29, 37, 6900, 1, normal 
0, 2, 0, 0, 76, 96, 6900, 1, normal 
0, 3, 0, 0, 44, 56, 6900, 1, fork 
0, 4, 0, 0, 8, 10, 6900, 1, normal 
0, 5, 0, 0, 12, 16, 6900, 1, normal 
0, 6, 0, 0, 41, 52, 6900, 1, normal 
0, 7, 0, 0, 17, 22, 6900, 1, fork 
0, 8, 0, 0, 65, 82, 6900, 1, normal 
0, 9, 0, 0, 78, 98, 6900, 1, normal 
0, 10, 0, 0, 44, 56, 6900, 1, normal 
0, 11, 0, 0, 63, 79, 6900, 1, normal 
0, 12, 0, 0, 33, 42, 6900, 1, normal 
0, 13, 0, 0, 68, 86, 6900, 1, normal 
0, 14, 0, 0, 48, 60, 6900, 1, normal 
0, 15, 0, 0, 56, 71, 6900, 1, normal 
0, 16, 0, 0, 16, 20, 6900, 1, normal 
0, 17, 0, 0, 15, 19, 6900, 1, normal 
0, 18, 0, 0, 30, 38, 6900, 1, normal 
0, 19, 0, 0, 56, 71, 6900, 1, normal 
0, 20, 0, 0, 11, 14, 6900, 1, normal 
0, 21, 0, 0, 32, 40, 6900, 1, fork 
0, 22, 0, 0, 42, 53, 6900, 1, normal 
0, 23, 0, 0, 40, 50, 6900, 1, normal 
0, 24, 0, 0, 69, 87, 6900, 1, normal 
0, 25, 0, 0, 1, 2, 6900, 1, normal 
0, 26, 0, 0, 37, 47, 6900, 1, normal 
0, 27, 0, 0, 6, 8, 6900, 1, normal 
0, 28, 0, 0, 74, 93, 6900, 1, normal 
0, 29, 0, 0, 11, 14, 6900, 1, normal 
0, 30, 0, 0, 32, 40, 6900, 1, normal 
0, 31, 0, 0, 73, 92, 6900, 1, join 
0, 32, 0, 0, 71, 89, 6900, 1, join 
0, 33, 0, 0, 56, 71, 6900, 1, normal 
0, 34, 0, 0, 44, 55, 6900, 1, normal 
0, 35, 0, 0, 10, 13, 6900, 1, normal 
0, 36, 0, 0, 24, 31, 6900, 1, join 
0, 37, 0, 0, 2, 3, 6900, 1, normal 
0, 38, 0, 0, 62, 78, 6900, 1, normal 
0, 39, 0, 0, 44, 55, 6900, 1, normal 
0, 40, 0, 0, 49, 62, 6900, 1, normal 
0, 41, 0, 0, 67, 84, 6900, 1, normal 
0, 42, 0, 0, 64, 80, 6900, 1, normal 
