Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 10
0, 1, 0, 36
0, 2, 0, 3
0, 2, 0, 6
0, 2, 0, 7
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 28
0, 5, 0, 28
0, 6, 0, 34
0, 7, 0, 8
0, 7, 0, 9
0, 8, 0, 29
0, 9, 0, 29
0, 10, 0, 15
0, 10, 0, 18
0, 10, 0, 23
0, 10, 0, 11
0, 11, 0, 12
0, 11, 0, 13
0, 11, 0, 14
0, 12, 0, 30
0, 13, 0, 30
0, 14, 0, 30
0, 15, 0, 16
0, 15, 0, 17
0, 16, 0, 31
0, 17, 0, 31
0, 18, 0, 19
0, 18, 0, 20
0, 18, 0, 21
0, 18, 0, 22
0, 19, 0, 32
0, 20, 0, 32
0, 21, 0, 32
0, 22, 0, 32
0, 23, 0, 26
0, 23, 0, 24
0, 23, 0, 25
0, 23, 0, 27
0, 24, 0, 33
0, 25, 0, 33
0, 26, 0, 33
0, 27, 0, 33
0, 28, 0, 34
0, 29, 0, 34
0, 30, 0, 35
0, 31, 0, 35
0, 32, 0, 35
0, 33, 0, 35
0, 34, 0, 36
0, 35, 0, 36
