Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 7
0, 0, 0, 17
0, 1, 0, 38
0, 2, 0, 3
0, 2, 0, 6
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 29
0, 5, 0, 29
0, 6, 0, 35
0, 7, 0, 8
0, 7, 0, 12
0, 8, 0, 9
0, 8, 0, 10
0, 8, 0, 11
0, 9, 0, 30
0, 10, 0, 30
0, 11, 0, 30
0, 12, 0, 13
0, 12, 0, 14
0, 12, 0, 15
0, 12, 0, 16
0, 13, 0, 31
0, 14, 0, 31
0, 15, 0, 31
0, 16, 0, 31
0, 17, 0, 26
0, 17, 0, 18
0, 17, 0, 23
0, 18, 0, 19
0, 18, 0, 20
0, 18, 0, 21
0, 18, 0, 22
0, 19, 0, 32
0, 20, 0, 32
0, 21, 0, 32
0, 22, 0, 32
0, 23, 0, 24
0, 23, 0, 25
0, 24, 0, 33
0, 25, 0, 33
0, 26, 0, 27
0, 26, 0, 28
0, 27, 0, 34
0, 28, 0, 34
0, 29, 0, 35
0, 30, 0, 36
0, 31, 0, 36
0, 32, 0, 37
0, 33, 0, 37
0, 34, 0, 37
0, 35, 0, 38
0, 36, 0, 38
0, 37, 0, 38
