Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 7
0, 0, 0, 15
0, 1, 0, 43
0, 2, 0, 3
0, 2, 0, 6
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 33
0, 5, 0, 33
0, 6, 0, 40
0, 7, 0, 8
0, 7, 0, 11
0, 8, 0, 9
0, 8, 0, 10
0, 9, 0, 34
0, 10, 0, 34
0, 11, 0, 14
0, 11, 0, 12
0, 11, 0, 13
0, 12, 0, 35
0, 13, 0, 35
0, 14, 0, 35
0, 15, 0, 28
0, 15, 0, 16
0, 15, 0, 20
0, 15, 0, 25
0, 16, 0, 17
0, 16, 0, 18
0, 16, 0, 19
0, 17, 0, 36
0, 18, 0, 36
0, 19, 0, 36
0, 20, 0, 21
0, 20, 0, 22
0, 20, 0, 23
0, 20, 0, 24
0, 21, 0, 37
0, 22, 0, 37
0, 23, 0, 37
0, 24, 0, 37
0, 25, 0, 27
0, 25, 0, 26
0, 26, 0, 38
0, 27, 0, 38
0, 28, 0, 29
0, 28, 0, 30
0, 28, 0, 31
0, 28, 0, 32
0, 29, 0, 39
0, 30, 0, 39
0, 31, 0, 39
0, 32, 0, 39
0, 33, 0, 40
0, 34, 0, 41
0, 35, 0, 41
0, 36, 0, 42
0, 37, 0, 42
0, 38, 0, 42
0, 39, 0, 42
0, 40, 0, 43
0, 41, 0, 43
0, 42, 0, 43
