Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 15
0, 0, 0, 27
0, 1, 0, 48
0, 2, 0, 3
0, 2, 0, 6
0, 2, 0, 7
0, 2, 0, 10
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 37
0, 5, 0, 37
0, 6, 0, 45
0, 7, 0, 8
0, 7, 0, 9
0, 8, 0, 38
0, 9, 0, 38
0, 10, 0, 12
0, 10, 0, 13
0, 10, 0, 14
0, 10, 0, 11
0, 11, 0, 39
0, 12, 0, 39
0, 13, 0, 39
0, 14, 0, 39
0, 15, 0, 16
0, 15, 0, 20
0, 15, 0, 24
0, 16, 0, 19
0, 16, 0, 17
0, 16, 0, 18
0, 17, 0, 40
0, 18, 0, 40
0, 19, 0, 40
0, 20, 0, 21
0, 20, 0, 22
0, 20, 0, 23
0, 21, 0, 41
0, 22, 0, 41
0, 23, 0, 41
0, 24, 0, 25
0, 24, 0, 26
0, 25, 0, 42
0, 26, 0, 42
0, 27, 0, 28
0, 27, 0, 32
0, 28, 0, 29
0, 28, 0, 30
0, 28, 0, 31
0, 29, 0, 43
0, 30, 0, 43
0, 31, 0, 43
0, 32, 0, 33
0, 32, 0, 34
0, 32, 0, 35
0, 32, 0, 36
0, 33, 0, 44
0, 34, 0, 44
0, 35, 0, 44
0, 36, 0, 44
0, 37, 0, 45
0, 38, 0, 45
0, 39, 0, 45
0, 40, 0, 46
0, 41, 0, 46
0, 42, 0, 46
0, 43, 0, 47
0, 44, 0, 47
0, 45, 0, 48
0, 46, 0, 48
0, 47, 0, 48
