Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 13
0, 1, 0, 37
0, 2, 0, 3
0, 2, 0, 6
0, 2, 0, 7
0, 2, 0, 10
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 29
0, 5, 0, 29
0, 6, 0, 35
0, 7, 0, 8
0, 7, 0, 9
0, 8, 0, 30
0, 9, 0, 30
0, 10, 0, 11
0, 10, 0, 12
0, 11, 0, 31
0, 12, 0, 31
0, 13, 0, 14
0, 13, 0, 19
0, 13, 0, 24
0, 14, 0, 18
0, 14, 0, 17
0, 14, 0, 16
0, 14, 0, 15
0, 15, 0, 32
0, 16, 0, 32
0, 17, 0, 32
0, 18, 0, 32
0, 19, 0, 20
0, 19, 0, 21
0, 19, 0, 22
0, 19, 0, 23
0, 20, 0, 33
0, 21, 0, 33
0, 22, 0, 33
0, 23, 0, 33
0, 24, 0, 25
0, 24, 0, 26
0, 24, 0, 27
0, 24, 0, 28
0, 25, 0, 34
0, 26, 0, 34
0, 27, 0, 34
0, 28, 0, 34
0, 29, 0, 35
0, 30, 0, 35
0, 31, 0, 35
0, 32, 0, 36
0, 33, 0, 36
0, 34, 0, 36
0, 35, 0, 37
0, 36, 0, 37
