   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 55, 69, 7750, 1, normal 
0, 1, 0, 0, 73, 92, 7750, 1, normal 
0, 2, 0, 0, 15, 19, 7750, 1, normal 
0, 3, 0, 0, 40, 51, 7750, 1, fork 
0, 4, 0, 0, 51, 64, 7750, 1, normal 
0, 5, 0, 0, 28, 36, 7750, 1, normal 
0, 6, 0, 0, 53, 67, 7750, 1, normal 
0, 7, 0, 0, 25, 32, 7750, 1, fork 
0, 8, 0, 0, 23, 29, 7750, 1, normal 
0, 9, 0, 0, 52, 66, 7750, 1, normal 
0, 10, 0, 0, 33, 42, 7750, 1, normal 
0, 11, 0, 0, 12, 16, 7750, 1, normal 
0, 12, 0, 0, 40, 51, 7750, 1, normal 
0, 13, 0, 0, 56, 70, 7750, 1, normal 
0, 14, 0, 0, 50, 63, 7750, 1, normal 
0, 15, 0, 0, 9, 12, 7750, 1, normal 
0, 16, 0, 0, 71, 89, 7750, 1, normal 
0, 17, 0, 0, 29, 37, 7750, 1, normal 
0, 18, 0, 0, 67, 84, 7750, 1, normal 
0, 19, 0, 0, 60, 75, 7750, 1, normal 
0, 20, 0, 0, 27, 34, 7750, 1, normal 
0, 21, 0, 0, 4, 5, 7750, 1, normal 
0, 22, 0, 0, 11, 14, 7750, 1, normal 
0, 23, 0, 0, 74, 93, 7750, 1, normal 
0, 24, 0, 0, 64, 80, 7750, 1, fork 
0, 25, 0, 0, 72, 90, 7750, 1, normal 
0, 26, 0, 0, 47, 59, 7750, 1, normal 
0, 27, 0, 0, 79, 99, 7750, 1, normal 
0, 28, 0, 0, 20, 26, 7750, 1, normal 
0, 29, 0, 0, 37, 47, 7750, 1, normal 
0, 30, 0, 0, 71, 89, 7750, 1, normal 
0, 31, 0, 0, 45, 57, 7750, 1, normal 
0, 32, 0, 0, 32, 41, 7750, 1, normal 
0, 33, 0, 0, 64, 80, 7750, 1, fork 
0, 34, 0, 0, 2, 3, 7750, 1, normal 
0, 35, 0, 0, 35, 44, 7750, 1, normal 
0, 36, 0, 0, 79, 99, 7750, 1, join 
0, 37, 0, 0, 4, 5, 7750, 1, join 
0, 38, 0, 0, 38, 48, 7750, 1, normal 
0, 39, 0, 0, 0, 1, 7750, 1, normal 
0, 40, 0, 0, 40, 51, 7750, 1, normal 
0, 41, 0, 0, 48, 60, 7750, 1, normal 
0, 42, 0, 0, 30, 38, 7750, 1, join 
0, 43, 0, 0, 23, 29, 7750, 1, normal 
0, 44, 0, 0, 74, 93, 7750, 1, join 
0, 45, 0, 0, 6, 8, 7750, 1, normal 
0, 46, 0, 0, 36, 46, 7750, 1, normal 
0, 47, 0, 0, 18, 23, 7750, 1, normal 
0, 48, 0, 0, 17, 22, 7750, 1, normal 
