Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 7
0, 0, 0, 14
0, 1, 0, 39
0, 2, 0, 3
0, 2, 0, 6
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 29
0, 5, 0, 29
0, 6, 0, 36
0, 7, 0, 8
0, 7, 0, 11
0, 8, 0, 9
0, 8, 0, 10
0, 9, 0, 30
0, 10, 0, 30
0, 11, 0, 12
0, 11, 0, 13
0, 12, 0, 31
0, 13, 0, 31
0, 14, 0, 25
0, 14, 0, 15
0, 14, 0, 18
0, 14, 0, 22
0, 15, 0, 16
0, 15, 0, 17
0, 16, 0, 32
0, 17, 0, 32
0, 18, 0, 19
0, 18, 0, 20
0, 18, 0, 21
0, 19, 0, 33
0, 20, 0, 33
0, 21, 0, 33
0, 22, 0, 23
0, 22, 0, 24
0, 23, 0, 34
0, 24, 0, 34
0, 25, 0, 26
0, 25, 0, 27
0, 25, 0, 28
0, 26, 0, 35
0, 27, 0, 35
0, 28, 0, 35
0, 29, 0, 36
0, 30, 0, 37
0, 31, 0, 37
0, 32, 0, 38
0, 33, 0, 38
0, 34, 0, 38
0, 35, 0, 38
0, 36, 0, 39
0, 37, 0, 39
0, 38, 0, 39
