   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 12, 15, 10050, 1, normal 
0, 1, 0, 0, 60, 76, 10050, 1, normal 
0, 2, 0, 0, 32, 40, 10050, 1, normal 
0, 3, 0, 0, 48, 60, 10050, 1, fork 
0, 4, 0, 0, 52, 65, 10050, 1, normal 
0, 5, 0, 0, 8, 10, 10050, 1, normal 
0, 6, 0, 0, 74, 93, 10050, 1, normal 
0, 7, 0, 0, 67, 84, 10050, 1, fork 
0, 8, 0, 0, 14, 18, 10050, 1, normal 
0, 9, 0, 0, 14, 18, 10050, 1, normal 
0, 10, 0, 0, 52, 65, 10050, 1, normal 
0, 11, 0, 0, 1, 2, 10050, 1, normal 
0, 12, 0, 0, 42, 53, 10050, 1, normal 
0, 13, 0, 0, 46, 58, 10050, 1, normal 
0, 14, 0, 0, 3, 4, 10050, 1, normal 
0, 15, 0, 0, 26, 33, 10050, 1, normal 
0, 16, 0, 0, 56, 70, 10050, 1, normal 
0, 17, 0, 0, 72, 91, 10050, 1, normal 
0, 18, 0, 0, 36, 46, 10050, 1, normal 
0, 19, 0, 0, 75, 94, 10050, 1, normal 
0, 20, 0, 0, 69, 87, 10050, 1, normal 
0, 21, 0, 0, 73, 92, 10050, 1, normal 
0, 22, 0, 0, 64, 81, 10050, 1, normal 
0, 23, 0, 0, 21, 27, 10050, 1, normal 
0, 24, 0, 0, 20, 25, 10050, 1, normal 
0, 25, 0, 0, 73, 92, 10050, 1, normal 
0, 26, 0, 0, 47, 59, 10050, 1, normal 
0, 27, 0, 0, 72, 90, 10050, 1, normal 
0, 28, 0, 0, 3, 4, 10050, 1, normal 
0, 29, 0, 0, 64, 80, 10050, 1, fork 
0, 30, 0, 0, 19, 24, 10050, 1, normal 
0, 31, 0, 0, 51, 64, 10050, 1, normal 
0, 32, 0, 0, 62, 78, 10050, 1, normal 
0, 33, 0, 0, 51, 64, 10050, 1, normal 
0, 34, 0, 0, 60, 76, 10050, 1, normal 
0, 35, 0, 0, 16, 20, 10050, 1, normal 
0, 36, 0, 0, 34, 43, 10050, 1, normal 
0, 37, 0, 0, 19, 24, 10050, 1, fork 
0, 38, 0, 0, 41, 52, 10050, 1, normal 
0, 39, 0, 0, 63, 79, 10050, 1, normal 
0, 40, 0, 0, 25, 32, 10050, 1, normal 
0, 41, 0, 0, 56, 71, 10050, 1, normal 
0, 42, 0, 0, 55, 69, 10050, 1, normal 
0, 43, 0, 0, 78, 98, 10050, 1, normal 
0, 44, 0, 0, 24, 31, 10050, 1, normal 
0, 45, 0, 0, 48, 61, 10050, 1, join 
0, 46, 0, 0, 36, 46, 10050, 1, join 
0, 47, 0, 0, 47, 59, 10050, 1, normal 
0, 48, 0, 0, 48, 61, 10050, 1, normal 
0, 49, 0, 0, 61, 77, 10050, 1, normal 
0, 50, 0, 0, 39, 49, 10050, 1, normal 
0, 51, 0, 0, 21, 27, 10050, 1, join 
0, 52, 0, 0, 13, 17, 10050, 1, normal 
0, 53, 0, 0, 49, 62, 10050, 1, join 
0, 54, 0, 0, 20, 25, 10050, 1, normal 
0, 55, 0, 0, 56, 70, 10050, 1, normal 
0, 56, 0, 0, 9, 12, 10050, 1, normal 
0, 57, 0, 0, 3, 4, 10050, 1, normal 
0, 58, 0, 0, 68, 85, 10050, 1, normal 
