Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 9
0, 1, 0, 24
0, 2, 0, 3
0, 2, 0, 8
0, 3, 0, 4
0, 3, 0, 5
0, 3, 0, 6
0, 3, 0, 7
0, 4, 0, 19
0, 5, 0, 19
0, 6, 0, 19
0, 7, 0, 19
0, 8, 0, 22
0, 9, 0, 10
0, 9, 0, 14
0, 10, 0, 11
0, 10, 0, 12
0, 10, 0, 13
0, 11, 0, 20
0, 12, 0, 20
0, 13, 0, 20
0, 14, 0, 15
0, 14, 0, 16
0, 14, 0, 17
0, 14, 0, 18
0, 15, 0, 21
0, 16, 0, 21
0, 17, 0, 21
0, 18, 0, 21
0, 19, 0, 22
0, 20, 0, 23
0, 21, 0, 23
0, 22, 0, 24
0, 23, 0, 24
