   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 38, 48, 800, 1, normal 
0, 1, 0, 0, 12, 15, 800, 1, normal 
0, 2, 0, 0, 48, 60, 800, 1, normal 
0, 3, 0, 0, 16, 21, 800, 1, normal 
0, 4, 0, 0, 31, 39, 800, 1, normal 
0, 5, 0, 0, 63, 79, 800, 1, normal 
0, 6, 0, 0, 66, 83, 800, 1, normal 
0, 7, 0, 0, 59, 74, 800, 1, normal 
0, 8, 0, 0, 72, 90, 800, 1, normal 
0, 9, 0, 0, 6, 8, 800, 1, normal 
0, 10, 0, 0, 61, 77, 800, 1, normal 
0, 11, 0, 0, 52, 65, 800, 1, normal 
