   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 53, 67, 650, 1, normal 
0, 1, 0, 0, 47, 59, 650, 1, normal 
0, 2, 0, 0, 68, 85, 650, 1, normal 
0, 3, 0, 0, 49, 62, 650, 1, normal 
0, 4, 0, 0, 16, 21, 650, 1, normal 
0, 5, 0, 0, 48, 61, 650, 1, normal 
0, 6, 0, 0, 64, 80, 650, 1, normal 
0, 7, 0, 0, 3, 4, 650, 1, normal 
0, 8, 0, 0, 29, 37, 650, 1, normal 
0, 9, 0, 0, 13, 17, 650, 1, normal 
0, 10, 0, 0, 19, 24, 650, 1, normal 
0, 11, 0, 0, 34, 43, 650, 1, normal 
0, 12, 0, 0, 16, 20, 650, 1, normal 
0, 13, 0, 0, 61, 77, 650, 1, normal 
0, 14, 0, 0, 44, 56, 650, 1, normal 
0, 15, 0, 0, 70, 88, 650, 1, normal 
0, 16, 0, 0, 72, 90, 650, 1, normal 
0, 17, 0, 0, 45, 57, 650, 1, normal 
0, 18, 0, 0, 11, 14, 650, 1, normal 
0, 19, 0, 0, 63, 79, 650, 1, normal 
