   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 70, 88, 350, 1, normal 
0, 1, 0, 0, 26, 33, 350, 1, normal 
0, 2, 0, 0, 66, 83, 350, 1, normal 
0, 3, 0, 0, 64, 80, 350, 1, normal 
0, 4, 0, 0, 16, 21, 350, 1, normal 
0, 5, 0, 0, 13, 17, 350, 1, normal 
0, 6, 0, 0, 76, 95, 350, 1, normal 
0, 7, 0, 0, 3, 4, 350, 1, normal 
0, 8, 0, 0, 37, 47, 350, 1, normal 
0, 9, 0, 0, 48, 60, 350, 1, normal 
0, 10, 0, 0, 12, 16, 350, 1, normal 
0, 11, 0, 0, 56, 70, 350, 1, normal 
0, 12, 0, 0, 4, 5, 350, 1, normal 
0, 13, 0, 0, 48, 61, 350, 1, normal 
0, 14, 0, 0, 61, 77, 350, 1, normal 
0, 15, 0, 0, 40, 50, 350, 1, normal 
