   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 74, 93, 1650, 1, normal 
0, 1, 0, 0, 57, 72, 1650, 1, normal 
0, 2, 0, 0, 23, 29, 1650, 1, normal 
0, 3, 0, 0, 54, 68, 1650, 1, normal 
0, 4, 0, 0, 26, 33, 1650, 1, normal 
0, 5, 0, 0, 8, 10, 1650, 1, normal 
0, 6, 0, 0, 74, 93, 1650, 1, normal 
0, 7, 0, 0, 58, 73, 1650, 1, normal 
0, 8, 0, 0, 76, 95, 1650, 1, normal 
0, 9, 0, 0, 19, 24, 1650, 1, normal 
0, 10, 0, 0, 7, 9, 1650, 1, normal 
0, 11, 0, 0, 5, 7, 1650, 1, normal 
0, 12, 0, 0, 61, 77, 1650, 1, normal 
0, 13, 0, 0, 78, 98, 1650, 1, normal 
0, 14, 0, 0, 78, 98, 1650, 1, normal 
0, 15, 0, 0, 73, 92, 1650, 1, normal 
0, 16, 0, 0, 64, 81, 1650, 1, normal 
0, 17, 0, 0, 58, 73, 1650, 1, normal 
0, 18, 0, 0, 28, 35, 1650, 1, normal 
0, 19, 0, 0, 38, 48, 1650, 1, normal 
0, 20, 0, 0, 69, 87, 1650, 1, normal 
0, 21, 0, 0, 20, 25, 1650, 1, normal 
0, 22, 0, 0, 10, 13, 1650, 1, normal 
