   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 54, 68, 450, 1, normal 
0, 1, 0, 0, 18, 23, 450, 1, normal 
0, 2, 0, 0, 8, 10, 450, 1, normal 
0, 3, 0, 0, 5, 7, 450, 1, normal 
0, 4, 0, 0, 46, 58, 450, 1, normal 
0, 5, 0, 0, 56, 70, 450, 1, normal 
0, 6, 0, 0, 76, 95, 450, 1, normal 
0, 7, 0, 0, 54, 68, 450, 1, normal 
0, 8, 0, 0, 43, 54, 450, 1, normal 
0, 9, 0, 0, 32, 40, 450, 1, normal 
0, 10, 0, 0, 59, 74, 450, 1, normal 
0, 11, 0, 0, 74, 93, 450, 1, normal 
0, 12, 0, 0, 37, 47, 450, 1, normal 
0, 13, 0, 0, 24, 30, 450, 1, normal 
0, 14, 0, 0, 41, 52, 450, 1, normal 
0, 15, 0, 0, 42, 53, 450, 1, normal 
0, 16, 0, 0, 73, 92, 450, 1, normal 
0, 17, 0, 0, 52, 65, 450, 1, normal 
0, 18, 0, 0, 9, 12, 450, 1, normal 
0, 19, 0, 0, 32, 40, 450, 1, normal 
0, 20, 0, 0, 8, 11, 450, 1, normal 
0, 21, 0, 0, 33, 42, 450, 1, normal 
0, 22, 0, 0, 73, 92, 450, 1, normal 
0, 23, 0, 0, 34, 43, 450, 1, normal 
0, 24, 0, 0, 2, 3, 450, 1, normal 
0, 25, 0, 0, 57, 72, 450, 1, normal 
0, 26, 0, 0, 78, 98, 450, 1, normal 
0, 27, 0, 0, 19, 24, 450, 1, normal 
0, 28, 0, 0, 78, 98, 450, 1, normal 
0, 29, 0, 0, 61, 77, 450, 1, normal 
0, 30, 0, 0, 68, 85, 450, 1, normal 
