   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 19, 24, 550, 1, normal 
0, 1, 0, 0, 33, 42, 550, 1, normal 
0, 2, 0, 0, 36, 45, 550, 1, normal 
0, 3, 0, 0, 72, 91, 550, 1, fork 
0, 4, 0, 0, 77, 97, 550, 1, normal 
0, 5, 0, 0, 42, 53, 550, 1, normal 
0, 6, 0, 0, 47, 59, 550, 1, normal 
0, 7, 0, 0, 14, 18, 550, 1, fork 
0, 8, 0, 0, 45, 57, 550, 1, normal 
0, 9, 0, 0, 27, 34, 550, 1, normal 
0, 10, 0, 0, 24, 30, 550, 1, normal 
0, 11, 0, 0, 52, 66, 550, 1, normal 
0, 12, 0, 0, 76, 96, 550, 1, normal 
0, 13, 0, 0, 52, 66, 550, 1, join 
0, 14, 0, 0, 68, 86, 550, 1, join 
0, 15, 0, 0, 20, 25, 550, 1, normal 
0, 16, 0, 0, 60, 76, 550, 1, normal 
0, 17, 0, 0, 58, 73, 550, 1, normal 
