   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 14, 18, 650, 1, normal 
0, 1, 0, 0, 60, 75, 650, 1, normal 
0, 2, 0, 0, 1, 2, 650, 1, normal 
0, 3, 0, 0, 51, 64, 650, 1, fork 
0, 4, 0, 0, 32, 40, 650, 1, normal 
0, 5, 0, 0, 36, 45, 650, 1, normal 
0, 6, 0, 0, 11, 14, 650, 1, normal 
0, 7, 0, 0, 40, 50, 650, 1, fork 
0, 8, 0, 0, 72, 91, 650, 1, normal 
0, 9, 0, 0, 57, 72, 650, 1, normal 
0, 10, 0, 0, 39, 49, 650, 1, normal 
0, 11, 0, 0, 34, 43, 650, 1, normal 
0, 12, 0, 0, 51, 64, 650, 1, normal 
0, 13, 0, 0, 64, 80, 650, 1, normal 
0, 14, 0, 0, 8, 10, 650, 1, normal 
0, 15, 0, 0, 38, 48, 650, 1, join 
0, 16, 0, 0, 16, 20, 650, 1, normal 
0, 17, 0, 0, 35, 44, 650, 1, normal 
0, 18, 0, 0, 40, 51, 650, 1, normal 
0, 19, 0, 0, 7, 9, 650, 1, join 
0, 20, 0, 0, 20, 25, 650, 1, normal 
