Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 10
0, 1, 0, 28
0, 2, 0, 3
0, 2, 0, 6
0, 2, 0, 7
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 21
0, 5, 0, 21
0, 6, 0, 26
0, 7, 0, 8
0, 7, 0, 9
0, 8, 0, 22
0, 9, 0, 22
0, 10, 0, 11
0, 10, 0, 14
0, 10, 0, 17
0, 11, 0, 12
0, 11, 0, 13
0, 12, 0, 23
0, 13, 0, 23
0, 14, 0, 15
0, 14, 0, 16
0, 15, 0, 24
0, 16, 0, 24
0, 17, 0, 18
0, 17, 0, 19
0, 17, 0, 20
0, 18, 0, 25
0, 19, 0, 25
0, 20, 0, 25
0, 21, 0, 26
0, 22, 0, 26
0, 23, 0, 27
0, 24, 0, 27
0, 25, 0, 27
0, 26, 0, 28
0, 27, 0, 28
