   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 20, 26, 3550, 1, normal 
0, 1, 0, 0, 47, 59, 3550, 1, normal 
0, 2, 0, 0, 30, 38, 3550, 1, normal 
0, 3, 0, 0, 76, 96, 3550, 1, fork 
0, 4, 0, 0, 10, 13, 3550, 1, normal 
0, 5, 0, 0, 69, 87, 3550, 1, normal 
0, 6, 0, 0, 1, 2, 3550, 1, normal 
0, 7, 0, 0, 8, 10, 3550, 1, fork 
0, 8, 0, 0, 76, 95, 3550, 1, normal 
0, 9, 0, 0, 36, 46, 3550, 1, normal 
0, 10, 0, 0, 17, 22, 3550, 1, normal 
0, 11, 0, 0, 14, 18, 3550, 1, normal 
0, 12, 0, 0, 19, 24, 3550, 1, normal 
0, 13, 0, 0, 8, 10, 3550, 1, normal 
0, 14, 0, 0, 21, 27, 3550, 1, normal 
0, 15, 0, 0, 52, 66, 3550, 1, normal 
0, 16, 0, 0, 12, 16, 3550, 1, normal 
0, 17, 0, 0, 20, 25, 3550, 1, normal 
0, 18, 0, 0, 51, 64, 3550, 1, normal 
0, 19, 0, 0, 0, 1, 3550, 1, normal 
0, 20, 0, 0, 8, 10, 3550, 1, normal 
0, 21, 0, 0, 71, 89, 3550, 1, normal 
0, 22, 0, 0, 50, 63, 3550, 1, normal 
0, 23, 0, 0, 44, 56, 3550, 1, normal 
0, 24, 0, 0, 63, 79, 3550, 1, join 
0, 25, 0, 0, 74, 93, 3550, 1, join 
0, 26, 0, 0, 47, 59, 3550, 1, normal 
0, 27, 0, 0, 50, 63, 3550, 1, normal 
0, 28, 0, 0, 9, 12, 3550, 1, normal 
0, 29, 0, 0, 61, 77, 3550, 1, normal 
0, 30, 0, 0, 74, 93, 3550, 1, normal 
0, 31, 0, 0, 31, 39, 3550, 1, normal 
