   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 10, 13, 4000, 1, normal 
0, 1, 0, 0, 43, 54, 4000, 1, normal 
0, 2, 0, 0, 67, 84, 4000, 1, normal 
0, 3, 0, 0, 65, 82, 4000, 1, fork 
0, 4, 0, 0, 40, 51, 4000, 1, normal 
0, 5, 0, 0, 22, 28, 4000, 1, normal 
0, 6, 0, 0, 23, 29, 4000, 1, normal 
0, 7, 0, 0, 70, 88, 4000, 1, fork 
0, 8, 0, 0, 59, 74, 4000, 1, normal 
0, 9, 0, 0, 54, 68, 4000, 1, normal 
0, 10, 0, 0, 35, 44, 4000, 1, normal 
0, 11, 0, 0, 58, 73, 4000, 1, normal 
0, 12, 0, 0, 19, 24, 4000, 1, normal 
0, 13, 0, 0, 4, 5, 4000, 1, normal 
0, 14, 0, 0, 56, 71, 4000, 1, normal 
0, 15, 0, 0, 76, 96, 4000, 1, normal 
0, 16, 0, 0, 39, 49, 4000, 1, normal 
0, 17, 0, 0, 62, 78, 4000, 1, normal 
0, 18, 0, 0, 41, 52, 4000, 1, normal 
0, 19, 0, 0, 40, 50, 4000, 1, normal 
0, 20, 0, 0, 36, 45, 4000, 1, normal 
0, 21, 0, 0, 60, 76, 4000, 1, normal 
0, 22, 0, 0, 25, 32, 4000, 1, normal 
0, 23, 0, 0, 28, 36, 4000, 1, join 
0, 24, 0, 0, 11, 14, 4000, 1, join 
0, 25, 0, 0, 50, 63, 4000, 1, normal 
0, 26, 0, 0, 60, 75, 4000, 1, normal 
0, 27, 0, 0, 65, 82, 4000, 1, normal 
0, 28, 0, 0, 36, 45, 4000, 1, normal 
0, 29, 0, 0, 29, 37, 4000, 1, normal 
0, 30, 0, 0, 67, 84, 4000, 1, normal 
